"filename", "language", "Java", "comment", "blank", "total"
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/domain/HotelRoom.java", "Java", 129, 7, 36, 172
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/domain/TravelPlan.java", "Java", 244, 7, 72, 323
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/domain/TravelPlanProcess.java", "Java", 72, 7, 20, 99
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/domain/Traveler.java", "Java", 75, 7, 20, 102
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/domain/User.java", "Java", 181, 6, 46, 233
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/domain/enumeration/PlanStatus.java", "Java", 7, 3, 2, 12
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/domain/package-info.java", "Java", 1, 3, 1, 5
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/process/travelPlanProcess/TaskChooseCarContextDTO.java", "Java", 19, 0, 8, 27
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/process/travelPlanProcess/TaskChooseCarController.java", "Java", 32, 0, 9, 41
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/process/travelPlanProcess/TaskChooseCarMapper.java", "Java", 29, 0, 5, 34
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/process/travelPlanProcess/TaskChooseCarService.java", "Java", 76, 0, 18, 94
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/process/travelPlanProcess/TaskChooseFlightContextDTO.java", "Java", 19, 0, 8, 27
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/process/travelPlanProcess/TaskChooseFlightController.java", "Java", 32, 0, 9, 41
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/process/travelPlanProcess/TaskChooseFlightMapper.java", "Java", 27, 0, 5, 32
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/process/travelPlanProcess/TaskChooseFlightService.java", "Java", 74, 0, 18, 92
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/process/travelPlanProcess/TaskChooseHotelRoomContextDTO.java", "Java", 19, 0, 8, 27
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/process/travelPlanProcess/TaskChooseHotelRoomController.java", "Java", 35, 0, 9, 44
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/process/travelPlanProcess/TaskChooseHotelRoomMapper.java", "Java", 29, 0, 5, 34
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/process/travelPlanProcess/TaskChooseHotelRoomService.java", "Java", 76, 0, 18, 94
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/process/travelPlanProcess/TaskPaymentDetailsContextDTO.java", "Java", 19, 0, 8, 27
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/process/travelPlanProcess/TaskPaymentDetailsController.java", "Java", 32, 0, 9, 41
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/process/travelPlanProcess/TaskPaymentDetailsMapper.java", "Java", 21, 0, 4, 25
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/process/travelPlanProcess/TaskPaymentDetailsService.java", "Java", 74, 0, 18, 92
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/process/travelPlanProcess/TaskProceedCheckoutContextDTO.java", "Java", 19, 0, 8, 27
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/process/travelPlanProcess/TaskProceedCheckoutController.java", "Java", 35, 0, 9, 44
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/process/travelPlanProcess/TaskProceedCheckoutMapper.java", "Java", 22, 0, 4, 26
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/process/travelPlanProcess/TaskProceedCheckoutService.java", "Java", 75, 0, 18, 93
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/repository/AirlineCompanyRepository.java", "Java", 7, 3, 3, 13
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/repository/AirportRepository.java", "Java", 7, 3, 3, 13
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/repository/AuthorityRepository.java", "Java", 4, 3, 3, 10
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/repository/CarRentalCompanyRepository.java", "Java", 7, 3, 3, 13
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/repository/CarRepository.java", "Java", 7, 3, 3, 13
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/repository/FlightRepository.java", "Java", 7, 3, 3, 13
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/repository/HotelCompanyRepository.java", "Java", 7, 3, 3, 13
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/repository/HotelRoomRepository.java", "Java", 7, 3, 3, 13
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/repository/TravelPlanProcessRepository.java", "Java", 10, 3, 3, 16
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/repository/TravelPlanRepository.java", "Java", 7, 3, 3, 13
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/repository/TravelerRepository.java", "Java", 7, 3, 3, 13
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/repository/UserRepository.java", "Java", 28, 3, 12, 43
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/repository/package-info.java", "Java", 1, 3, 1, 5
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/security/AuthoritiesConstants.java", "Java", 7, 3, 6, 16
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/security/DomainUserDetailsService.java", "Java", 50, 3, 10, 63
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/security/SecurityUtils.java", "Java", 44, 24, 10, 78
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/security/SpringSecurityAuditorAware.java", "Java", 12, 3, 4, 19
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/security/UserNotActivatedException.java", "Java", 11, 3, 6, 20
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/security/jwt/JWTConfigurer.java", "Java", 16, 0, 6, 22
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/security/jwt/JWTFilter.java", "Java", 36, 4, 8, 48
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/security/jwt/TokenProvider.java", "Java", 83, 0, 18, 101
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/security/package-info.java", "Java", 1, 3, 1, 5
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/AirlineCompanyService.java", "Java", 61, 31, 13, 105
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/AirportService.java", "Java", 57, 31, 13, 101
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/CarRentalCompanyService.java", "Java", 61, 31, 13, 105
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/CarService.java", "Java", 57, 31, 13, 101
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/EmailAlreadyUsedException.java", "Java", 7, 0, 4, 11
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/FlightService.java", "Java", 57, 31, 13, 101
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/HotelCompanyService.java", "Java", 57, 31, 13, 101
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/HotelRoomService.java", "Java", 57, 31, 13, 101
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/InvalidPasswordException.java", "Java", 7, 0, 4, 11
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/MailService.java", "Java", 90, 6, 17, 113
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/TravelPlanProcessService.java", "Java", 69, 29, 18, 116
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/TravelPlanService.java", "Java", 57, 31, 13, 101
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/TravelerService.java", "Java", 57, 31, 13, 101
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/UserService.java", "Java", 289, 31, 26, 346
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/UsernameAlreadyUsedException.java", "Java", 7, 0, 4, 11
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/dto/AdminUserDTO.java", "Java", 144, 5, 45, 194
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/dto/AirlineCompanyDTO.java", "Java", 56, 4, 16, 76
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/dto/AirportDTO.java", "Java", 74, 4, 22, 100
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/dto/CarDTO.java", "Java", 90, 4, 28, 122
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/dto/CarRentalCompanyDTO.java", "Java", 56, 4, 16, 76
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/dto/FlightDTO.java", "Java", 108, 4, 34, 146
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/dto/HotelCompanyDTO.java", "Java", 56, 4, 16, 76
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/dto/HotelRoomDTO.java", "Java", 90, 4, 28, 122
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/dto/PasswordChangeDTO.java", "Java", 23, 4, 9, 36
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/dto/TravelPlanDTO.java", "Java", 158, 4, 55, 217
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/dto/TravelPlanProcessDTO.java", "Java", 53, 4, 16, 73
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/dto/TravelerDTO.java", "Java", 56, 4, 16, 76
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/dto/UserDTO.java", "Java", 31, 6, 12, 49
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/dto/package-info.java", "Java", 1, 3, 1, 5
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/mapper/AirlineCompanyMapper.java", "Java", 12, 3, 3, 18
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/mapper/AirportMapper.java", "Java", 12, 3, 3, 18
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/mapper/CarMapper.java", "Java", 14, 3, 4, 21
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/mapper/CarRentalCompanyMapper.java", "Java", 12, 3, 3, 18
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/mapper/EntityMapper.java", "Java", 15, 6, 8, 29
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/mapper/FlightMapper.java", "Java", 16, 3, 4, 23
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/mapper/HotelCompanyMapper.java", "Java", 12, 3, 3, 18
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/mapper/HotelRoomMapper.java", "Java", 14, 3, 4, 21
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/mapper/TravelPlanMapper.java", "Java", 11, 3, 3, 17
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/mapper/TravelPlanProcessMapper.java", "Java", 11, 3, 3, 17
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/mapper/TravelerMapper.java", "Java", 6, 3, 3, 12
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/mapper/UserMapper.java", "Java", 123, 6, 21, 150
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/mapper/package-info.java", "Java", 1, 3, 1, 5
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/service/package-info.java", "Java", 1, 3, 1, 5
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/web/rest/AccountResource.java", "Java", 120, 56, 20, 196
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/web/rest/AirlineCompanyResource.java", "Java", 108, 48, 20, 176
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/web/rest/AirportResource.java", "Java", 107, 48, 20, 175
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/web/rest/CarRentalCompanyResource.java", "Java", 111, 48, 20, 179
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/web/rest/CarResource.java", "Java", 105, 48, 20, 173
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/web/rest/ClientForwardController.java", "Java", 10, 4, 4, 18
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/web/rest/FlightResource.java", "Java", 107, 48, 20, 175
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/web/rest/HotelCompanyResource.java", "Java", 108, 48, 20, 176
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/web/rest/HotelRoomResource.java", "Java", 107, 48, 20, 175
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/web/rest/PublicUserResource.java", "Java", 45, 10, 11, 66
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/web/rest/TravelPlanProcessResource.java", "Java", 50, 21, 11, 82
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/web/rest/TravelPlanResource.java", "Java", 39, 14, 9, 62
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/web/rest/TravelerResource.java", "Java", 107, 48, 20, 175
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/web/rest/UserJWTController.java", "Java", 50, 6, 13, 69
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/web/rest/UserResource.java", "Java", 114, 63, 19, 196
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/web/rest/errors/BadRequestAlertException.java", "Java", 31, 0, 11, 42
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/web/rest/errors/EmailAlreadyUsedException.java", "Java", 7, 0, 4, 11
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/web/rest/errors/ErrorConstants.java", "Java", 13, 0, 5, 18
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/web/rest/errors/ExceptionTranslator.java", "Java", 205, 8, 21, 234
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/web/rest/errors/FieldErrorVM.java", "Java", 22, 0, 11, 33
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/web/rest/errors/InvalidPasswordException.java", "Java", 9, 0, 5, 14
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/web/rest/errors/LoginAlreadyUsedException.java", "Java", 7, 0, 4, 11
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/web/rest/errors/package-info.java", "Java", 1, 5, 1, 7
